aX,aY,aZ,gX,gY,gZ,ts
0.743,0.305,1.407,8.667,-61.646,247.681,1
0.822,0.18,1.387,1.831,-64.636,268.555,1
0.871,-0.001,1.444,13.733,-50.11,270.203,1
0.85,0.142,1.371,29.602,-39.612,224.609,1
0.76,0.249,1.388,48.096,-28.931,207.214,1
0.765,0.265,1.369,55.664,-45.471,200.5,1
0.844,0.205,1.35,56.458,-55.725,190.43,1
0.901,0.325,1.336,61.584,-63.477,182.19,1
0.902,0.256,1.297,65.857,-62.866,191.65,1
0.873,0.239,1.293,71.045,-60.913,189.209,1
0.814,0.265,1.283,79.529,-63.232,187.927,1
0.795,0.212,1.291,85.632,-70.984,185.242,1
0.825,0.234,1.267,94.91,-82.703,177.307,1
0.906,0.296,1.251,103.638,-88.379,170.105,1
0.898,0.278,1.239,106.14,-84.045,167.969,1
0.9,0.286,1.218,106.018,-75.989,162.109,1
0.874,0.305,1.196,105.408,-66.772,158.02,1
0.825,0.274,1.18,103.76,-59.082,156.677,1
0.741,0.293,1.167,103.394,-56.03,156.25,1
0.678,0.244,1.144,103.088,-58.655,157.959,1
0.64,0.181,1.119,106.384,-64.514,151.489,1
0.608,0.228,1.085,115.784,-71.167,141.907,1
0.584,0.243,1.057,122.742,-78.796,135.132,1
0.556,0.276,1.019,125.183,-87.402,131.47,1
0.543,0.284,0.974,123.779,-94.604,132.141,1
0.541,0.246,0.917,120.422,-99.243,130.066,1
0.53,0.244,0.866,118.469,-100.098,122.009,1
0.512,0.284,0.813,115.54,-100.159,113.953,1
0.518,0.32,0.774,106.628,-99.548,108.643,1
0.613,0.342,0.741,92.529,-97.839,103.455,1
0.71,0.396,0.718,76.904,-87.83,100.22,1
0.807,0.425,0.685,59.937,-68.604,94.543,1
0.736,0.464,0.633,43.274,-44.25,101.929,1
0.757,0.414,0.659,22.583,-28.015,106.934,1
0.775,0.267,0.706,10.742,-18.127,104.492,1
0.749,0.424,0.699,8.972,-3.54,94.971,1
0.878,0.362,0.643,2.869,6.897,89.417,1
0.753,0.015,0.795,-3.601,23.376,89.722,1
0.611,0.384,0.543,-2.869,4.822,49.561,1
1.461,0.808,-0.531,50.842,-8.85,-41.138,0
1.465,0.842,-0.599,51.758,-21.79,-55.176,0
1.498,0.865,-0.615,48.584,-35.217,-69.824,0
1.502,0.859,-0.578,43.274,-50.293,-84.961,0
